,kcat,data_type,MW,kcat_MW
rxn00545_c,163.75925,Other_species,139162.0236,4236.308762615608
rxn00568_c_reverse_num1,130.0,Other_species,32585.4422,14362.24179888527
rxn00762_c,36.880416249999996,Other_species,157379.7808,843.6248787811247
rxn08971_c,113.45,Other_species,60630.1003,6736.25802990796
rxn00225_c_reverse,887.8,Other_species,86565.75,36920.83762920093
rxn00148_c_reverse,561.2830769230769,Other_species,103433.032,19535.52978049678
rxn00781_c_num1,125.234,Other_species,147122.2948,3064.405708277465
rxn00250_c,12.963145454545455,Other_species,126891.8898,367.7723116104433
rxn00171_c_num1,11.03,Other_species,191059.7792,207.83024122745348
rxn00549_c,14.13,Other_species,72261.9442,703.9389897843353
rxn00506_c,36.0943,Other_species,162478.1243,799.7352293412707
rxn02380_c,1231.8181818181818,Other_species,49011.1365,90480.36367296755
rxn05938_c_reverse,47.857142857142854,Other_species,254785.2608,676.1996896710372
rxn00499_c,85.07575181818181,Other_species,276389.82999999996,1108.1185821687236
rxn00392_c,2.6733333333333333,Other_species,103152.2169,93.29901275248308
rxn00747_c,11660.6,Other_species,52987.8448,792222.4457032456
rxn01334_c_num1,16.6515,Other_species,122055.0224,491.1342345548575
rxn00777_c_num1,7734.305,Other_species,45860.2766,607137.594106879
rxn02314_c,163.75925,Other_species,139162.0236,4236.308762615608
rxn04794_c,7.9825,Other_species,168051.7222,171.00092533297467
rxn01871_c_reverse,2.4,Other_species,528028.162,16.362763620929748
rxn00786_c_num1,18.5473,Other_species,122055.0224,547.0506554099817
rxn01100_c,368.7242857142857,Other_species,42119.704,31515.11768865775
rxn00173_c,707.819090909091,Other_species,139608.3324,18252.124951767757
rxn01116_c,1336.51725,Other_species,44463.0614,108212.5690067756
rxn00670_c,500.45,Other_species,139608.3324,12904.817133966424
rxn01870_c,1.4984848181818182,Other_species,122055.0224,44.197651513065026
rxn01106_c_num1,324.9216666666667,Other_species,54366.996,21515.222213123565
rxn00543_c,31.627563,Other_species,231000.13989999998,492.8967872023354
rxn01476_c,14.3,Other_species,37721.9679,1364.7220138798748
rxn00799_c_num1,478.9045454545455,Other_species,39859.6882,43253.132211816046
rxn00011_c_reverse,75.91831578947368,Other_species,193462.39889999997,1412.7083009209255
rxn08975_c,105.39372727272728,Other_species,60630.1003,6257.905170937317
rxn00459_c,58.39727272727273,Other_species,183661.7012,1144.6598852378581
rxn00770_c,24.1725,Other_species,249723.29110000003,348.46969866800697
rxn05209_c_num1,1142.7105161621917,fill,82724.4624,49728.432664723965
rxn00175_c,744.0071428571429,Other_species,185696.69400000002,14423.658583204038
rxn00161_c,235.36363636363637,Other_species,83537.19,10142.896725507417
rxn03249_c,827.0366923076923,Other_species,31543.3946,94388.4489942529
rxn05226_c_num1,1142.7105161621917,fill,62216.1267,66120.4429845018
rxn00569_c_reverse_num1,130.0,Other_species,32585.4422,14362.24179888527
rxn00785_c_num1,31899.69230769231,Other_species,33236.9178,3455160.7040918907
rxn00077_c,27.086,Other_species,62317.9968,1564.710115970865
rxn01388_c,1.1,Other_species,69246.7188,57.1868251467245
rxn01480_c,3.43,Other_species,31543.3946,391.4607212249756
rxn01200_c_num1,28.642,Other_species,33236.9178,3102.309324241852
rxn00763_c,9.783357583815029,Other_species,231000.13989999998,152.4678180583825
rxn00122_c,0.027325882352941176,Other_species,103152.2169,0.9536700172518371
rxn00974_c,5.3,Other_species,69246.7188,275.5365211614907
rxn00256_c_reverse,454.5487142857143,Other_species,104350.1632,15681.579417295741
rxn01343_c,131.0574,Other_species,139162.0236,3390.34046642018
rxn00157_c_reverse,4.0649999999999995,Other_species,168051.7222,87.08033341416122
rxn00779_c,353.75,Other_species,52005.6858,24487.70707298316
rxn02201_c_num1,0.0354,Other_species,43214.1362,2.949034996562074
rxn00836_c_reverse,9.3875,Other_species,39021.8162,866.053999813571
rxn00423_c,1889.7556666666667,Other_species,48629.0258,139898.34852912065
rxn00364_c_num1,114.32454545454546,Other_species,48035.5862,8567.988780708658
rxn02177_c,5.53,Other_species,84945.2044,234.36284768066318
rxn01673_c,576.4,Other_species,16903.2791,122759.61295580809
rxn00642_c,4.316,Other_species,38806.5563,400.38595230878553
rxn00022_c,153.75,Other_species,179585.4312,3082.0985661335762
rxn02000_c,14.136,Other_species,41304.6176,1232.0559529886557
rxn00322_c,21.77,Other_species,46895.3223,1671.2114589731693
rxn00654_c,10.536666666666667,Other_species,44618.7149,850.1365421441127
rxn00107_c,890.0,Other_species,16903.2791,189549.02069859332
rxn01358_c,4598.060909090909,Other_species,57803.2118,286368.5037087727
rxn01219_c_num1,51.74,Other_species,48035.5862,3877.62520945357
rxn05958_c,0.21545454545454545,Other_species,34024.3286,22.79652224015858
rxn00800_c_num1,1.5233333333333334,Other_species,53615.9384,102.28301814074003
rxn01705_c,2.5013666666666667,Other_species,76254.525,118.09030349346482
rxn09177_c,2.2733333285714283,Other_species,109109.3092,75.007348528398
rxn00211_c,0.117,Other_species,46748.4798,9.00991864980388
rxn00179_c,12.35,Other_species,349957.6548,127.0439420032369
rxn01210_c,83.87888889166666,Other_species,45689.9886,6608.975166389077
rxn00192_c_num1,0.22,Other_species,85156.392,9.300534949860252
rxn01218_c_num1,90.68232558139535,Other_species,219589.16139999998,1486.6688775151142
rxn05614_c,1142.7105161621917,fill,112784.2256,36474.58530924106
rxn10344_c_num1,1142.7105161621917,fill,299044.714,13756.33029308082
rxn02504_c,0.34526666666666667,Other_species,13644.6414,91.09510199366618
rxn00262_c,2.897185714285714,Other_species,103706.4548,100.57106466075601
rxn03039_c,5.65475,Other_species,58843.0986,345.9556088026948
rxn10225_c,8.92,Other_species,31518.5888,1018.827340391585
rxn00898_c,14.895461538461538,Other_species,117169.4754,457.65897095124774
rxn05334_c,7.070588235294117,Other_species,16026.5332,1588.2485207130649
rxn05235_c,0.0188175,Other_species,88436.0643,0.7660110220440915
rxn00816_c,288.90625,Other_species,398463.01619999995,2610.1857831592656
rxn01021_c,2.332105263157895,Other_species,24501.9496,342.6494252264898
rxn00165_c,287.759,Other_species,68460.4058,15131.84720269362
rxn00001_c,187.4955,Other_species,95337.3026,7079.9548717251
rxn08895_c,1142.7105161621917,fill,346680.508,11866.135428023228
rxn11268_c_reverse,1142.7105161621917,fill,72162.6568,57006.740613573005
rxn00710_c,83.86,Other_species,65533.7714,4606.724037859967
rxn02305_c,999.0,Other_species,95201.1756,37776.84442795893
rxn00910_c,117.13846153846154,Other_species,127064.1488,3318.7839805405565
rxn00953_c,13.697692307692307,Other_species,65071.389,757.80912418655
rxn01129_c,5.2,Other_species,76254.525,245.49362808305477
rxn08296_c,10.403333333333332,Other_species,17917.1538,2090.287353563935
rxn05647_c,1142.7105161621917,fill,187178.9473,21977.67386516277
rxn01962_c,302.545,Other_species,40817.3564,26683.795719803158
rxn10254_c,10.403333333333332,Other_species,17917.1538,2090.287353563935
rxn05459_c,2.5,Other_species,81869.7114,109.93076494465326
rxn01682_c,13.5724,Other_species,143045.5312,341.57404002845215
rxn08941_c,1142.7105161621917,fill,247958.924,16590.481164468554
rxn00337_c,21.54230769230769,Other_species,86225.342,899.4143240662089
rxn08308_c,8.92,Other_species,31518.5888,1018.827340391585
rxn05346_c,0.044333333333333336,Other_species,43139.3518,3.6996383427346724
rxn08127_c,57.15384210526316,Other_species,117297.966,1754.112527227858
rxn05733_c,111.188,Other_species,63427.3575,6310.791049430051
rxn00416_c,2.4476470588235295,Other_species,70072.2009,125.74928857079335
rxn08017_c,0.016,Other_species,17453.3982,3.300216917070052
rxn08192_c,0.845,Other_species,262941.88790000003,11.569096214738176
rxn12512_c,1.73,Other_species,109109.3092,57.08037238677706
rxn08669_c,3.3,Other_species,27247.657,436.00079082028964
rxn00902_c_reverse,15.230555555555556,Other_species,158449.6436,346.04053852223365
rxn06672_c,0.4548,Other_species,127511.7137,12.84023210488779
rxn00649_c,353.54545454545456,Other_species,63427.3575,20066.477408642422
rxn01739_c,66.57383333333334,Other_species,19648.4951,12197.666985702128
rxn01268_c_num1,37.975,Other_species,29994.873,4557.778924418183
rxn02679_c,92.11603090909091,Other_species,41063.8695,8075.6566614533795
rxn01974_c,98.44,Other_species,61700.3158,5743.633487204939
rxn00242_c,4.485,Other_species,163371.7986,98.82978664837935
