modelseed,bigg,,,,,,,,,,,,,,,
cpd00201,10fthf,10-Formyltetrahydrofolate,,,,,,,,,,,,cpd00201,10fthf_c,10-Formyltetrahydrofolate
cpd03524,10fthfglu__L,10-Formyl-THF-L-glutamate,,,,,,,,,,,,cpd03524,10fthfglu__L_c,10-Formyltetrahydrofolyl L-glutamate
cpd15306,12dgr120,"1,2-Diacyl-sn-glycerol didodecanoyl",,,,,,,,,,,,cpd15306,12dgr120_c,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)"
cpd15307,12dgr140,"1,2-Diacyl-sn-glycerol ditetradecanoyl",,,,,,,,,,,,cpd15307,12dgr140_c,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)"
cpd15308,12dgr141,"1,2-Diacyl-sn-glycerol ditetradec-7-enoyl",,,,,,,,,,,,cpd15308,12dgr141_c,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)"
cpd15309,12dgr160,"1,2-Diacyl-sn-glycerol dihexadecanoyl",,,,,,,,,,,,cpd15309,12dgr160_c,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)"
cpd15310,12dgr161,"1,2-Diacyl-sn-glycerol dihexadec-9-enoyl",,,,,,,,,,,,cpd15310,12dgr161_c,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)"
cpd15311,12dgr180,"1,2-Diacyl-sn-glycerol dioctadecanoyl",,,,,,,,,,,,cpd15311,12dgr180_c,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
cpd15312,12dgr181,"1,2-Diacyl-sn-glycerol dioctadec-11-enoyl",,,,,,,,,,,,cpd15312,12dgr181_c,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)"
cpd00203,13dpg,"1,3-Bisphospho-D-glycerate",,,,,,,,,,,,cpd00203,13dpg_c,3-Phospho-D-glyceroyl phosphate
cpd01155,15dap,Cadaverine,,,,,,,,,,,,cpd01155,15dap_c,"1,5-Diaminopentane"
cpd15325,1ddecg3p,1-dodecanoyl-sn-glycerol 3-phosphate,,,,,,,,,,,,cpd15325,1ddecg3p_c,1-dodecanoyl-sn-glycerol 3-phosphate
cpd15327,1hdecg3p,1-hexadecanoyl-sn-glycerol 3-phosphate,,,,,,,,,,,,cpd15327,1hdecg3p_c,1-hexadecanoyl-sn-glycerol 3-phosphate
cpd15328,1odec11eg3p,1-octadec-11-enoyl-sn-glycerol 3-phosphate,,,,,,,,,,,,cpd15328,1odec11eg3p_c,1-octadec-11-enoyl-sn-glycerol 3-phosphate
cpd15329,1odecg3p,1-octadecanoyl-sn-glycerol 3-phosphate,,,,,,,,,,,,cpd15329,1odecg3p_c,1-octadecanoyl-sn-glycerol 3-phosphate
cpd00922,1pipdn2c,delta1-Piperideine-2-carboxylate,,,,,,,,,,,,cpd00922,1pipdn2c_c,Delta1-Piperideine-2-carboxylate
cpd02431,1pyr5c,1-Pyrroline-5-carboxylate,,,,,,,,,,,,cpd02431,1pyr5c_c,1-Pyrroline-5-carboxylate
cpd15330,1tdec7eg3p,1-tetradec-7-enoyl-sn-glycerol 3-phosphate,,,,,,,,,,,,cpd15330,1tdec7eg3p_c,1-tetradec-7-enoyl-sn-glycerol 3-phosphate
cpd15331,1tdecg3p,1-tetradecanoyl-sn-glycerol 3-phosphate,,,,,,,,,,,,cpd15331,1tdecg3p_c,1-tetradecanoyl-sn-glycerol 3-phosphate
cpd02566,23ddhb,"2,3-Dihydroxy-2,3-dihydrobenzoate",,,,,,,,,,,,cpd02566,23ddhb_c,"2,3-Dihydro-2,3-dihydroxybenzoate"
cpd02120,23dhdp,Dihydrodipicolinate,,,,,,,,,,,,cpd02120,23dhdp_c,"2,3-Dihydrodipicolinate"
cpd21488,23dhdp,"(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate",,,,,,,,,,,,cpd21488,23dhdp_c,"2,3-Dihydrodipicolinate"
cpd02498,23dhmb,"2,3-Dihydroxy-isovalerate",,,,,,,,,,,,cpd02498,23dhmb_c,"(R)-2,3-Dihydroxy-3-methylbutanoate"
cpd02535,23dhmp,"2,3-Dihydroxy-3-methylvalerate",,,,,,,,,,,,cpd02535,23dhmp_c,"(R)-2,3-Dihydroxy-3-methylpentanoate"
cpd02921,25aics,SAICAR,,,,,,,,,,,,cpd02921,25aics_c,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
cpd00957,25dhpp,"2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone",,,,,,,,,,,,cpd00957,25dhpp_c,2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P
cpd01793,25dkglcn,"2,5-diketo-D-gluconate",,,,,,,,,,,,cpd01793,25dkglcn_c,"2,5-diketo-D-gluconate"
cpd00340,25dop,"2,5-Dioxopentanoate",,,,,,,,,,,,cpd00340,25dop_c,2 5 Dioxopentanoate C5H5O4
cpd15807,25dthpp,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate",,,,,,,,,,,,cpd15807,25dthpp_c,2 5 diamino 6 ribitylamino 4 3H  pyrimidinone 5  phosphate C9H16N5O8P
cpd00516,26dap__M,"meso-2,6-Diaminopimelate",,,,,,,,,,,,cpd00516,26dap__M_c,"Meso-2,6-Diaminoheptanedioate"
cpd00504,26dap_LL,"LL-2,6-Diaminopimelate",,,,,,,,,,,,cpd00504,26dap_LL_c,"LL-2,6-Diaminoheptanedioate"
cpd00498,2ahbut,2-Aceto-2-hydroxybutanoate,,,,,,,,,,,,cpd00498,2ahbut_c,(S)-2-Aceto-2-hydroxybutanoate
cpd03049,2ahethmpp,2-Hydroxyethyl-ThPP,,,,,,,,,,,,cpd03049,2ahethmpp_c,2-(alpha-Hydroxyethyl)thiamine diphosphate
cpd02920,2ahhmd,2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate,,,,,,,,,,,,cpd02920,2ahhmd_c,2 Amino 4 hydroxy 6 hydroxymethyl 7 8 dihydropteridine diphosphate C7H8N5O8P2
cpd00954,2ahhmp,6-hydroxymethyl dihydropterin,,,,,,,,,,,,cpd00954,2ahhmp_c,2 Amino 4 hydroxy 6 hydroxymethyl 7 8 dihydropteridine C7H9N5O2
cpd00938,2c25dho,4-Carboxymuconolactone,,,,,,,,,,,,cpd00938,4cml_c,4-Carboxymuconolactone
cpd00956,2cpr5p,1-(2-carboxyphenylamino)-1-deoxyribulose 5-phosphate,,,,,,,,,,,,cpd00956,2cpr5p_c,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
cpd02857,2dda7p,DAHP,,,,,,,,,,,,cpd02857,2dda7p_c,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate
cpd00480,2dhglcn,2-Dehydro-D-gluconate,,,,,,,,,,,,cpd00480,2dhglcn_c,2-Dehydro-D-gluconate
cpd00712,2dhp,2-Dehydropantoate,,,,,,,,,,,,cpd00712,2dhp_c,2-Dehydropantoate
cpd15352,2dmmq8,2-Demethylmenaquinone 8,,,,,,,,,,,,cpd15352,2dmmq8_c,2-Demethylmenaquinone 8
cpd15353,2dmmql8,2-Demethylmenaquinol 8,,,,,,,,,,,,cpd15353,2dmmql8_c,2-Demethylmenaquinol 8
cpd00509,2dr1p,deoxyribose-1-phosphate,,,,,,,,,,,,cpd00509,2dr1p_c,2-Deoxy-D-ribose 1-phosphate
cpd00510,2dr5p,deoxyribose-5-phosphate,,,,,,,,,,,,cpd00510,2dr5p_c,2-Deoxy-D-ribose 5-phosphate
cpd00868,2h34hppr,p-hydroxyphenylpyruvate,,,,,,,,,,,,cpd00868,2h34hppr_c,2-Hydroxy-3-(4-hydroxyphenyl)propenoate
cpd01553,2hymeph,Saligenin,,,,,,,,,,,,cpd01553,2hymeph_c,2-(Hydroxymethyl)phenol
cpd00524,2ins,2-Inosose,,,,,,,,,,,,cpd00524,2ins_c,2-Inosose
cpd01710,2ippm,2-Isopropylmaleate,,,,,,,,,,,,cpd01710,2ippm_c,2-Isopropylmaleate
cpd02124,2maacoa,2-Methylacetoacetyl-CoA,,,,,,,,,,,,cpd02124,2maacoa_c,2-Methyl-3-acetoacetyl-CoA
cpd02894,2mahmp,4-Amino-2-methyl-5-diphosphomethylpyrimidine,,,,,,,,,,,,cpd02894,2mahmp_c,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate
cpd08286,2me4p,2-C-methyl-D-erythritol4-phosphate,,,,,,,,,,,,cpd08286,2me4p_c,2-C-methyl-D-erythritol 4-phosphate
cpd08301,2mecdp,2-C-methyl-D-erythritol2-4-cyclodiphosphate,,,,,,,,,,,,cpd08301,2mecdp_c,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate"
cpd00287,2mop,3-Oxo-2-methylpropanoate,,,,,,,,,,,,cpd00287,2mop_c,2-Methyl-3-oxopropanoate
cpd00094,2obut,2-Oxobutyrate,,,,,,,,,,,,cpd00094,2obut_c,2-Oxobutanoate
cpd03445,2ohph,2-Octaprenyl-6-hydroxyphenol,,,,,,,,,,,,cpd03445,2ohph_c,2-Octaprenyl-6-hydroxyphenol
cpd03447,2ombz,"2-Octaprenyl-6-methoxy-1,4-benzoquinone",,,,,,,,,,,,cpd03447,2ombz_c,"2-Octaprenyl-6-methoxy-1,4-benzoquinone"
cpd03449,2omhmbl,"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone",,,,,,,,,,,,cpd03449,2omhmbl_c,"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol"
cpd03448,2ommb,"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone",,,,,,,,,,,,cpd03448,2ommb_c,"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone"
cpd03446,2omph,2-Octaprenyl-6-methoxyphenol,,,,,,,,,,,,cpd03446,2omph_c,2-Octaprenyl-6-methoxyphenol
cpd03444,2oph,2-Octaprenylphenol,,,,,,,,,,,,cpd03444,2oph_c,2-Octaprenylphenol
cpd08288,2p4c2me,2-phospho-4--cytidine5-diphospho-2-C-methyl-D-erythritol,,,,,,,,,,,,cpd08288,2p4c2me_c,2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
cpd00482,2pg,2-Phospho-D-glycerate,,,,,,,,,,,,cpd00482,2pg_c,D-Glycerate 2-phosphate
cpd00727,2pglyc,2-Phosphoglycolate,,,,,,,,,,,,cpd00727,2pglyc_c,2-Phosphoglycolate
cpd03451,2shchc,SHCHC,,,,,,,,,,,,cpd03451,2shchc_c,"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate"
cpd02693,3c2hmp,3-Isopropylmalate,,,,,,,,,,,,cpd02693,3c2hmp_c,3-Carboxy-2-hydroxy-4-methylpentanoate
cpd01646,3c3hmp,2-Isopropylmalate,,,,,,,,,,,,cpd01646,3c3hmp_c,3-Carboxy-3-hydroxy-4-methylpentanoate
cpd02605,3c4mop,2-isopropyl-3-oxosuccinate,,,,,,,,,,,,cpd02605,3c4mop_c,3-Carboxy-4-methyl-2-oxopentanoate
