metname,inchikey
10fthf,AUFGTPPARQZWDO-YPMHNXCESA-L
10fthfglu__L,BHBZPCBOCZGPTF-UHFFFAOYSA-L
12dgr120,NA
12dgr140,NA
12dgr141,NA
12dgr160,NA
12dgr161,NA
12dgr180,NA
12dgr181,NA
13dpg,LJQLQCAXBUHEAZ-UWTATZPHSA-J
15dap,VHRGRCVQAFMJIZ-UHFFFAOYSA-P
1ddecg3p,STTKJLVEXMKLNA-CQSZACIVSA-L
1hdecg3p,NA
1odec11eg3p,NA
1odecg3p,LAYXSTYJRSVXIH-HXUWFJFHSA-L
1pipdn2c,GEJXSVNGWOSZPC-UHFFFAOYSA-N
1pyr5c,DWAKNKKXGALPNW-UHFFFAOYSA-M
1tdec7eg3p,NA
1tdecg3p,FAZBDRGXCKPVJU-MRXNPFEDSA-L
23ddhb,INCSWYKICIYAHB-WDSKDSINSA-M
23dhdp,UWOCFOFVIBZJGH-YFKPBYRVSA-L
23dhdp,UWOCFOFVIBZJGH-YFKPBYRVSA-L
23dhmb,JTEYKUFKXGDTEU-VKHMYHEASA-M
23dhmp,PDGXJDXVGMHUIR-UJURSFKZSA-M
25aics,NAQGHJTUZRHGAC-ZZZDFHIKSA-J
25dhpp,NA
25dkglcn,RXMWXENJQAINCC-DMTCNVIQSA-M
25dop,NA
25dthpp,NA
26dap__M,GMKMEZVLHJARHF-SYDPRGILSA-N
26dap_LL,GMKMEZVLHJARHF-WHFBIAKZSA-N
2ahbut,VUQLHQFKACOHNZ-LURJTMIESA-M
2ahethmpp,RRUVJGASJONMDY-UHFFFAOYSA-L
2ahhmd,FCQGJGLSOWZZON-UHFFFAOYSA-L
2ahhmp,NA
2c25dho,DHCUIDTZCMREHG-UHFFFAOYSA-L
2cpr5p,QKMBYNRMPRKVTO-MNOVXSKESA-K
2dda7p,PJWIPEXIFFQAQZ-PUFIMZNGSA-K
2dhglcn,VBUYCZFBVCCYFD-JJYYJPOSSA-M
2dhp,PKVVTUWHANFMQC-UHFFFAOYSA-M
2dmmq8,GDUBPWSFXUAETN-AENDIINCSA-N
2dmmql8,FGYPGICSXJEKCG-AENDIINCSA-N
2dr1p,KBDKAJNTYKVSEK-VPENINKCSA-L
2dr5p,ALQNUOMIEBHXQG-CRCLSJGQSA-L
2h34hppr,GQYBCIHRWMPOOF-YVMONPNESA-M
2hymeph,CQRYARSYNCAZFO-UHFFFAOYSA-N
2ins,VYEGBDHSGHXOGT-HYFGLKJPSA-N
2ippm,NJMGRJLQRLFQQX-HYXAFXHYSA-L
2maacoa,NHNODHRSCRALBF-NQNBQJKNSA-J
2mahmp,AGQJQCFEPUVXNK-UHFFFAOYSA-K
2me4p,XMWHRVNVKDKBRG-UHNVWZDZSA-L
2mecdp,SFRQRNJMIIUYDI-UHNVWZDZSA-L
2mop,VOKUMXABRRXHAR-UHFFFAOYSA-M
2obut,TYEYBOSBBBHJIV-UHFFFAOYSA-M
2ohph,YGTMSXVYLRCOLD-MGDAWYEDSA-N
2ombz,AFTBILPWMUSGIN-MYCGWMCTSA-N
2omhmbl,QURLIMHPCRKMJP-WDXILIIOSA-N
2ommb,FLYBTLROCQBHMR-KFSSTAEESA-N
2omph,MYNOBJRQIKYBRD-MGHGRUFNSA-N
2oph,VUNQJPPPTJIREN-CMAXTTDKSA-N
2p4c2me,HTJXTKBIUVFUAR-XHIBXCGHSA-J
2pg,GXIURPTVHJPJLF-UWTATZPHSA-K
2pglyc,ASCFNMCAHFUBCO-UHFFFAOYSA-K
2shchc,QJYRAJSESKVEAE-PSASIEDQSA-L
3c2hmp,RNQHMTFBUSSBJQ-CRCLSJGQSA-L
3c3hmp,BITYXLXUCSKTJS-ZETCQYMHSA-L
3c4mop,HIIZAGQWABAMRR-BYPYZUCNSA-L
3dhq,WVMWZWGZRAXUBK-SYTVJDICSA-M
3dhsk,SLWWJZMPHJJOPH-PHDIDXHHSA-M
3hadpcoa,OTEACGAEDCIMBS-NOTSHUFBSA-I
3hbcoa,QHHKKMYHDBRONY-VKBDFPRVSA-J
3hbutACP,NA
3hcmrs7eACP,NA
3hcvac11eACP,NA
3hddecACP,NA
3hdecACP,NA
3hhcoa,VAAHKRMGOFIORX-IKTBLOROSA-J
3hhexACP,NA
3hmbcoa,PEKYNTFSOBAABV-LQUDNSJZSA-J
3hmoa,DNOPJXBPONYBLB-UHFFFAOYSA-M
3hmp,DBXBTMSZEOQQDU-UHFFFAOYSA-M
3hmrsACP,NA
3hoctaACP,NA
3hoctACP,NA
3hpalmACP,NA
3ig3p,NQEQTYPJSIEPHW-MNOVXSKESA-L
3mob,QHKABHOOEWYVLI-UHFFFAOYSA-M
3mop,JVQYSWDUAOAHFM-BYPYZUCNSA-M
3oddecACP,NA
3odecACP,NA
3ohcoa,NFOYYXQAVVYWKV-HDRQGHTBSA-J
3ohexACP,NA
3omrsACP,NA
3ooctACP,NA
3opalmACP,NA
3ophb,UTIBHEBNILDQKX-LQOKPSQISA-M
3pg,OSJPPGNTCRNQQC-UWTATZPHSA-K
3php,LFLUCDOSQPJJBE-UHFFFAOYSA-K
3psme,QUTYKIXIUDQOLK-PRJMDXOYSA-J
3uib,PHENTZNALBMCQD-UHFFFAOYSA-M
4abut,BTCSSZJGUNDROE-UHFFFAOYSA-N
4abutn,DZQLQEYLEYWJIB-UHFFFAOYSA-O
4abz,ALYNCZNDIQEVRV-UHFFFAOYSA-M
4adcho,OIUJHGOLFKDBSU-HTQZYQBOSA-M
4ahmmp,VUTBELPREDJDDH-UHFFFAOYSA-N
4ampm,SSWDVESQMBHOQT-UHFFFAOYSA-N
4c2me,YFAUKWZNPVBCFF-XHIBXCGHSA-L
4crsol,IWDCLRJOBJJRNH-UHFFFAOYSA-N
4fumacac,GACSIVHAIFQKTC-OWOJBTEDSA-L
4hba,BVJSUAQZOZWCKN-UHFFFAOYSA-N
4hbald,RGHHSNMVTDWUBI-UHFFFAOYSA-N
4hbz,FJKROLUGYXJWQN-UHFFFAOYSA-M
4hthr,JBNUARFQOCGDRK-GBXIJSLDSA-N
4mop,BKAJNAXTPSGJCU-UHFFFAOYSA-M
4mpetz,OCYMERZCMYJQQO-UHFFFAOYSA-L
4pasp,IXZNKTPIYKDIGG-REOHCLBHSA-L
4ppan,XHFVGHPGDLDEQO-ZETCQYMHSA-K
4ppcys,XQYALQVLCNHCFT-CBAPKCEASA-K
4r5au,XKQZIXVJVUPORE-RPDRRWSUSA-N
56dthm,NBAKTGXDIBVZOO-UHFFFAOYSA-N
56dura,OIVLITBTBDPEFK-UHFFFAOYSA-N
5aizc,XFVULMDJZXYMSG-ZIYNGMLESA-L
5aop,ZGXJTSGNIOSYLO-UHFFFAOYSA-N
5apentam,OTIAVLWNTIXJDO-UHFFFAOYSA-O
5aprbu,RQRINYISXYAZKL-RPDRRWSUSA-L
5apru,LZEXYCAGPMYXLX-UMMCILCDSA-L
5aptn,JJMDCOVWQOJGCB-UHFFFAOYSA-N
5caiz,JHLXDWGVSYMXPL-XVFCMESISA-K
5fthf,VVIAGPKUTFNRDU-STQMWFEESA-L
5hiu,LTQYPAVLAYVKTK-UHFFFAOYSA-N
5houdic,WHKYNCPIXMNTRQ-UHFFFAOYSA-M
5mta,WUUGFSXJNOTRMR-IOSLPCCCSA-N
5mthf,ZNOVTXRBGFNYRX-STQMWFEESA-L
5mthglu,HVRNKDVLFAVCJF-VJANTYMQSA-J
5mtr,ACWASDPGAVYCNI-JKUQZMGJSA-N
5odhf2a,ZPEHSARSWGDCEX-UHFFFAOYSA-M
5prdmbz,ZMRGXEJKZPRBPJ-SYQHCUMBSA-L
6a2ohxnt,GWENQMVPLJAMAE-UHFFFAOYSA-N
6dg,DLRVVLDZNNYCBX-ABXHMFFYSA-N
6pgc,BIRSGZKFKXLSJQ-SQOUGZDYSA-K
6pgl,IJOJIVNDFQSGAB-SQOUGZDYSA-L
aacald,LYIIBVSRGJSHAV-UHFFFAOYSA-O
aacoa,OJFDKHTZOUZBOS-CITAKDKDSA-J
ac,QTBSBXVTEAMEQO-UHFFFAOYSA-M
acac,WDJHALXBUFZDSR-UHFFFAOYSA-M
acACP,NA
acald,IKHGUXGNUITLKF-UHFFFAOYSA-N
accoa,ZSLZBFCDCINBPY-ZSJPKINUSA-J
acg5p,FCVIHFVSXHOPSW-YFKPBYRVSA-K
acg5sa,BCPSFKBPHHBDAI-LURJTMIESA-M
acgam,OVRNDRQMDRJTHS-RTRLPJTCSA-N
acgam1p,FZLJPEPAYPUMMR-RTRLPJTCSA-L
acgam6p,BRGMHAYQAZFZDJ-RTRLPJTCSA-L
