reactions,metabolites,metabolitestotal,gpr,genes
rxn00545_c0,cpd00002_c0,cpd00002,Ethha_1347,Ethha_1347
rxn00545_c0,cpd00072_c0,cpd00072,Ethha_1347,Ethha_1347
rxn00568_c0_reverse_num1,cpd00004_c0,cpd00004,Ethha_2302,Ethha_2302
rxn00568_c0_reverse_num1,cpd00067_c0,cpd00067,Ethha_2302,Ethha_2302
rxn00568_c0_reverse_num1,cpd00075_c0,cpd00075,Ethha_2302,Ethha_2302
rxn00762_c0,cpd00003_c0,cpd00003,Ethha_1736 and Ethha_1726,Ethha_1726
rxn00762_c0,cpd00003_c0,cpd00003,Ethha_1736 and Ethha_1726,Ethha_1736
rxn00762_c0,cpd00100_c0,cpd00100,Ethha_1736 and Ethha_1726,Ethha_1726
rxn00762_c0,cpd00100_c0,cpd00100,Ethha_1736 and Ethha_1726,Ethha_1736
rxn08971_c0,cpd00004_c0,cpd00004,Ethha_0978,Ethha_0978
rxn08971_c0,cpd00067_c0,cpd00067,Ethha_0978,Ethha_0978
rxn08971_c0,cpd15500_c0,cpd15500,Ethha_0978,Ethha_0978
rxn00225_c0_reverse,cpd00008_c0,cpd00008,Ethha_2004,Ethha_2004
rxn00225_c0_reverse,cpd00196_c0,cpd00196,Ethha_2004,Ethha_2004
rxn00148_c0_reverse,cpd00008_c0,cpd00008,Ethha_0305,Ethha_0305
rxn00148_c0_reverse,cpd00061_c0,cpd00061,Ethha_0305,Ethha_0305
rxn00148_c0_reverse,cpd00067_c0,cpd00067,Ethha_0305,Ethha_0305
rxn00781_c0_num1,cpd00003_c0,cpd00003,Ethha_2604,Ethha_2604
rxn00781_c0_num1,cpd00009_c0,cpd00009,Ethha_2604,Ethha_2604
rxn00781_c0_num1,cpd00102_c0,cpd00102,Ethha_2604,Ethha_2604
rxn00250_c0,cpd00002_c0,cpd00002,Ethha_1006,Ethha_1006
rxn00250_c0,cpd00020_c0,cpd00020,Ethha_1006,Ethha_1006
rxn00250_c0,cpd00242_c0,cpd00242,Ethha_1006,Ethha_1006
rxn00171_c0_num1,cpd00003_c0,cpd00003,Ethha_1385,Ethha_1385
rxn00171_c0_num1,cpd00010_c0,cpd00010,Ethha_1385,Ethha_1385
rxn00171_c0_num1,cpd00071_c0,cpd00071,Ethha_1385,Ethha_1385
rxn00549_c0,cpd00001_c0,cpd00001,Ethha_1966,Ethha_1966
rxn00549_c0,cpd00290_c0,cpd00290,Ethha_1966,Ethha_1966
rxn00506_c0,cpd00001_c0,cpd00001,Ethha_0578 and Ethha_0625,Ethha_0578
rxn00506_c0,cpd00001_c0,cpd00001,Ethha_0578 and Ethha_0625,Ethha_0625
rxn00506_c0,cpd00003_c0,cpd00003,Ethha_0578 and Ethha_0625,Ethha_0578
rxn00506_c0,cpd00003_c0,cpd00003,Ethha_0578 and Ethha_0625,Ethha_0625
rxn00506_c0,cpd00071_c0,cpd00071,Ethha_0578 and Ethha_0625,Ethha_0578
rxn00506_c0,cpd00071_c0,cpd00071,Ethha_0578 and Ethha_0625,Ethha_0625
rxn05938_c0_reverse,cpd00010_c0,cpd00010,Ethha_2733,Ethha_2733
rxn05938_c0_reverse,cpd00020_c0,cpd00020,Ethha_2733,Ethha_2733
rxn05938_c0_reverse,cpd11621_c0,cpd11621,Ethha_2733,Ethha_2733
rxn05145_c0_num1,cpd00001_c0,cpd00001,Ethha_0247,Ethha_0247
rxn05145_c0_num1,cpd00002_c0,cpd00002,Ethha_0247,Ethha_0247
rxn05145_c0_num1,cpd00009_e0,cpd00009,Ethha_0247,Ethha_0247
rxn00499_c0,cpd00003_c0,cpd00003,Ethha_1350 and Ethha_2705,Ethha_2705
rxn00499_c0,cpd00003_c0,cpd00003,Ethha_1350 and Ethha_2705,Ethha_1350
rxn00499_c0,cpd00159_c0,cpd00159,Ethha_1350 and Ethha_2705,Ethha_2705
rxn00499_c0,cpd00159_c0,cpd00159,Ethha_1350 and Ethha_2705,Ethha_1350
rxn00392_c0,cpd00002_c0,cpd00002,Ethha_2779,Ethha_2779
rxn00392_c0,cpd00220_c0,cpd00220,Ethha_2779,Ethha_2779
rxn02314_c0,cpd00002_c0,cpd00002,Ethha_1347,Ethha_1347
rxn02314_c0,cpd00805_c0,cpd00805,Ethha_1347,Ethha_1347
rxn04794_c0,cpd00010_c0,cpd00010,Ethha_1657,Ethha_1657
rxn04794_c0,cpd00094_c0,cpd00094,Ethha_1657,Ethha_1657
rxn01871_c0_reverse,cpd00010_c0,cpd00010,Ethha_2752,Ethha_2752
rxn01871_c0_reverse,cpd00836_c0,cpd00836,Ethha_2752,Ethha_2752
rxn01100_c0,cpd00002_c0,cpd00002,Ethha_1547,Ethha_1547
rxn01100_c0,cpd00169_c0,cpd00169,Ethha_1547,Ethha_1547
rxn00173_c0,cpd00009_c0,cpd00009,Ethha_2711,Ethha_2711
rxn00173_c0,cpd00022_c0,cpd00022,Ethha_2711,Ethha_2711
rxn00868_c0_reverse,cpd00004_c0,cpd00004,Y3.CDS.1921,Y3.CDS.1921
rxn00868_c0_reverse,cpd00067_c0,cpd00067,Y3.CDS.1921,Y3.CDS.1921
rxn00868_c0_reverse,cpd00650_c0,cpd00650,Y3.CDS.1921,Y3.CDS.1921
rxn00670_c0,cpd00009_c0,cpd00009,Ethha_2711,Ethha_2711
rxn00670_c0,cpd00086_c0,cpd00086,Ethha_2711,Ethha_2711
rxn00543_c0,cpd00003_c0,cpd00003,Ethha_1385 and Ethha_1164,Ethha_1385
rxn00543_c0,cpd00003_c0,cpd00003,Ethha_1385 and Ethha_1164,Ethha_1164
rxn00543_c0,cpd00363_c0,cpd00363,Ethha_1385 and Ethha_1164,Ethha_1385
