Reaction_ID,data_type,kcat,MW,kcat_MW
rxn06078_c0,DLkcat,8619.2072,46096.3178,202536.925
rxn00650_c0_num2,DLkcat,1921.1481,38522.6475,179534.2119
rxn03194_c0_num2,DLkcat,779.3666,18856.5087,21023.14306
rxn01362_c0_reverse,DLkcat,772.682,24816.0859,56045.40561
rxn05655_c0_num2,DLkcat,740.4781,62216.1267,42846.14458
rxn00410_c0,DLkcat,729.9124,59892.8313,10968.27693
rxn10770_c0_reverse_num1,DLkcat,604.914,39940.3607,9427.225459
rxn06865_c0_reverse_num1,DLkcat,535.5674,23365.6752,82516.02505
rxn00187_c0_num2,DLkcat,445.7912,49430.8004,32466.56552
rxn00762_c0_reverse,DLkcat,434.6246,38787.7185,9941.865162
rxn06864_c0,DLkcat,427.0243,30773.5129,17348.75191
rxn08312_c0,DLkcat,401.3099,31518.5888,45836.93925
rxn05461_c0,DLkcat,401.3099,25525.2873,14149.847
rxn00770_c0_reverse,DLkcat,350.5758,44078.2393,5053.88534
rxn08668_c0_reverse,DLkcat,350.4933,27247.657,46307.68363
rxn08073_c0_reverse_num2,DLkcat,328.153,101425.4128,2911.870821
rxn00806_c0_reverse,DLkcat,312.4966,40254.5762,27946.82906
rxn05735_c0,DLkcat,303.8399,54474.5853,6732.128677
rxn05226_c0_num4,DLkcat,302.4636,8891.1318,61233.42812
rxn08615_c0,DLkcat,302.4636,53713.5631,5067.942328
rxn03962_c0,DLkcat,302.4636,35480.1338,30689.53928
rxn03406_c0,DLkcat,302.4636,49430.8004,22028.14745
rxn40037_c0,DLkcat,284.5261,32204.6332,7951.448738
rxn00802_c0_reverse,DLkcat,279.1958,50583.273,9935.150697
rxn00647_c0_reverse,DLkcat,277.5089,44525.9756,3743.830593
rxn10196_c0_reverse,DLkcat,244.3719,34711.7962,6241.486205
rxn06864_c0_reverse,DLkcat,244.3719,27063.8142,9928.117598
rxn01480_c0,DLkcat,202.3208,31543.3946,23090.56743
rxn05655_c0_num3,DLkcat,188.8216,62481.4103,5439.680032
rxn08073_c0_reverse_num3,DLkcat,180.3927,193068.7376,1681.819978
rxn01302_c0_reverse,DLkcat,179.0279,44779.9054,7196.313103
rxn01358_c0_reverse,DLkcat,176.7173,28901.6059,11006.00227
rxn01575_c0_reverse,DLkcat,172.4085,40254.5762,15418.63457
rxn00260_c0_num2,DLkcat,165.126,43568.8149,1048.078571
rxn12637_c0_reverse_num1,DLkcat,153.7618,26711.8884,20722.70113
rxn00710_c0,DLkcat,153.593,32766.8857,8437.402399
rxn01368_c0,DLkcat,145.3582,27206.1796,3205.702575
rxn00171_c0_reverse_num1,DLkcat,141.7544,95529.8896,2670.974719
rxn05518_c0_reverse_num2,DLkcat,140.2353,12390.9358,20371.62843
rxn11946_c0_num2,DLkcat,137.7521,53019.4603,779.4426757
rxn05740_c0_reverse,DLkcat,136.6894,72261.9442,1984.529663
rxn06023_c0,DLkcat,134.3827,13745.6425,35194.98779
rxn09242_c0_num1,DLkcat,133.0227,62481.4103,2558.416568
rxn00260_c0_reverse_num1,DLkcat,131.3435,44665.6693,1771.935291
rxn05582_c0_reverse,DLkcat,127.8783,46742.6067,9848.870495
rxn08021_c0,DLkcat,127.604,8726.6991,13455.77336
rxn00695_c0,DLkcat,125.8992,44124.9209,1331.961593
rxn00915_c0_reverse,DLkcat,125.7378,19510.9081,11600.07719
rxn00770_c0,DLkcat,124.1332,34274.1753,1789.498761
rxn08549_c0,DLkcat,121.6942,8726.6991,12832.58812
rxn05158_c0_num1,DLkcat,121.6942,30827.6648,14211.23276
rxn02914_c0,DLkcat,118.4785,39822.2915,5355.324668
rxn02320_c0_num1,DLkcat,116.0762,38081.1811,3530.108238
rxn05740_c0,DLkcat,116.0762,87848.4899,1685.256224
rxn08793_c0,DLkcat,114.1708,34791.3952,1487.08395
rxn01637_c0,DLkcat,113.9901,42043.6996,4880.212302
rxn01603_c0,DLkcat,109.2607,45689.9886,8608.855726
rxn02476_c0,DLkcat,108.7134,44188.2461,8856.840326
rxn01210_c0,DLkcat,105.7077,45689.9886,8328.908184
rxn00260_c0_reverse_num2,DLkcat,104.5421,43568.8149,663.5438078
rxn00260_c0_reverse_num3,DLkcat,104.5421,40146.5918,4687.216811
rxn00818_c0,DLkcat,104.405,83165.9913,2281.118112
rxn01451_c0,DLkcat,104.1918,31543.3946,11891.25282
rxn00902_c0_reverse,DLkcat,102.6546,34968.7452,2332.328124
rxn03062_c0,DLkcat,102.6546,38564.9665,4791.35072
rxn08076_c0_reverse_num2,DLkcat,97.7755,101425.4128,867.6124412
rxn01917_c0,DLkcat,96.2504,30582.1678,5665.089576
rxn45425_c0_reverse,DLkcat,94.9797,35419.1302,9653.735653
rxn05485_c0_reverse,DLkcat,93.217,62216.1267,1792.83624
rxn01018_c0_num2,DLkcat,92.7341,116300.9875,1435.253334
rxn01791_c0,DLkcat,92.129,32018.2363,5179.304645
rxn00416_c0,DLkcat,91.5425,70072.2009,4703.04908
rxn45425_c0,DLkcat,88.7905,35419.1302,9024.665433
rxn02159_c0_reverse,DLkcat,87.7636,45855.9126,6890.037556
rxn09242_c0_reverse_num1,DLkcat,86.4141,62216.1267,1661.996525
rxn06937_c0_num1,DLkcat,86.3828,54377.4674,5718.877595
rxn00192_c0_num1,DLkcat,85.7087,42578.196,3623.348908
rxn05239_c0,DLkcat,85.5563,11552.2707,5390.830054
rxn02320_c0_num2,DLkcat,85.5196,40146.5918,1955.519088
rxn08942_c0_reverse,DLkcat,83.816,87848.4899,1216.885423
rxn08898_c0,DLkcat,82.7253,39178.264,859.0361244
rxn09210_c0,DLkcat,81.7774,22180.304,2212.162647
rxn02504_c0_reverse,DLkcat,80.303,13644.6414,21187.13065
rxn12008_c0_reverse,DLkcat,79.9602,27692.0873,5197.454365
rxn02005_c0,DLkcat,79.8856,62481.4103,1536.434327
rxn03903_c0,DLkcat,76.0904,36400.6488,3762.645022
rxn00148_c0_reverse,DLkcat,75.9944,51716.516,2644.994879
rxn00109_c0,DLkcat,75.2368,55586.1415,1589.941029
rxn03843_c0,DLkcat,73.3912,27692.0873,4770.465966
rxn00085_c0_reverse,DLkcat,73.2779,66181.3001,463.1254274
rxn00816_c0,DLkcat,70.1822,86181.1767,634.0762122
rxn08981_c0,DLkcat,67.2097,54166.3485,4466.886299
rxn01301_c0_reverse,DLkcat,66.7938,44779.9054,2684.883743
rxn00545_c0,DLkcat,999,34790.5059,103373.0297
rxn03407_c0,DLkcat,64.7771,49430.8004,4717.656969
rxn08958_c0_reverse,DLkcat,64.6016,73917.609,1573.141794
rxn00781_c0_reverse_num1,DLkcat,63.5348,36780.5737,1554.660905
rxn16574_c0_reverse,DLkcat,63.5335,17186.5321,13308.1298
rxn00836_c0_reverse,DLkcat,62.9854,19510.9081,5810.786429
rxn04016_c0,DLkcat,62.4896,29597.6032,7600.701938
rxn00143_c0,DLkcat,62.2349,24501.9496,9143.992362
rxn00412_c0,DLkcat,62.2349,59892.8313,935.1938919
rxn45996_c0_reverse,DLkcat,61.4684,35158.1266,1049.004699
rxn12642_c0_num1,DLkcat,59.6786,26711.8884,8042.971608
rxn02596_c0,DLkcat,58.636,83165.9913,1281.12295
rxn05671_c0_reverse,DLkcat,58.002,54301.234,640.8915127
rxn02177_c0,DLkcat,57.9699,21236.3011,2456.779538
rxn10770_c0_num1,DLkcat,57.4944,95529.8896,896.0160807
rxn01434_c0,DLkcat,57.4944,45026.563,1149.209634
rxn01406_c0,DLkcat,56.4668,35108.7981,1487.403065
rxn08893_c0_reverse,DLkcat,55.6679,28676.7342,578.0666503
rxn12642_c0_reverse_num1,DLkcat,55.6679,26711.8884,7502.443743
rxn00547_c0,DLkcat,55.6334,34811.839,1438.305514
rxn06848_c0_reverse_num4,DLkcat,55.0947,19245.6171,5152.885433
rxn05226_c0_num5,DLkcat,54.1391,9997.3685,9747.603082
rxn01332_c0,DLkcat,54.1215,,5320.85242
rxn12635_c0_reverse_num2,DLkcat,54.0023,38522.6475,5046.59707
rxn09992_c0,DLkcat,53.8679,52645.8713,910.0550201
rxn26127_c0,DLkcat,53.8679,72261.9442,782.0829227
rxn05617_c0_num4,DLkcat,53.3088,61321.1902,1564.807201
rxn00260_c0_num1,DLkcat,53.3088,44525.9756,719.1809571
rxn00337_c0,DLkcat,53.3088,43112.671,2225.699261
rxn00786_c0_reverse_num1,DLkcat,52.718,30513.7556,1554.911844
rxn06865_c0_reverse_num4,DLkcat,52.3243,19245.6171,4893.776048
rxn01333_c0,DLkcat,52.2958,23203.8948,8113.503428
rxn01739_c0,DLkcat,51.4509,19648.4951,9426.841041
rxn05647_c0,DLkcat,51.4509,62216.1267,989.5516706
rxn05617_c0_reverse_num1,DLkcat,51.3609,62216.1267,987.8207067
rxn00907_c0,DLkcat,50.8675,30106.6758,3041.235791
rxn08535_c0_num4,DLkcat,50.3189,15137.1643,5983.552679
rxn08535_c0_num3,DLkcat,50.3189,29899.1996,3029.31253
rxn08535_c0_num2,DLkcat,50.3189,31143.5672,2908.273783
rxn01548_c0,DLkcat,50.0035,28901.6059,3114.231794
rxn05647_c0_reverse,DLkcat,49.2944,62481.4103,948.0758523
rxn12645_c0_reverse_num1,DLkcat,49.2815,26711.8884,6641.739339
rxn06848_c0_reverse_num20,DLkcat,46.6841,25011.1277,1679.879872
rxn02803_c0,DLkcat,45.7798,41063.8695,4013.437652
rxn12640_c0_num2,DLkcat,45.4656,38522.6475,4248.829471
rxn08073_c0_num2,DLkcat,45.0018,101425.4128,399.324182
rxn12643_c0_num1,DLkcat,44.7047,26711.8884,6024.917355
rxn02988_c0_reverse,DLkcat,43.0073,33153.8001,4669.940687
rxn12644_c0_reverse_num1,DLkcat,42.5322,26711.8884,5732.126374
rxn00612_c0,DLkcat,42.444,36185.1273,4222.685158
rxn02465_c0_reverse,DLkcat,42.4321,34777.3227,2196.194936
rxn12633_c0_reverse_num1,DLkcat,42.1119,26711.8884,5675.481933
rxn12639_c0_reverse_num1,DLkcat,42.1119,26711.8884,5675.481933
rxn00154_c0,DLkcat,999,264014.081,277
rxn08043_c0_num1,DLkcat,40.7076,60003.7742,839.3036445
