gene_id,abundance
CXQ68_RS00005,83.8726254
CXQ68_RS00010,73.31704856
CXQ68_RS00015,57.05960764
CXQ68_RS00020,63.62952178
CXQ68_RS00025,62.4558868
CXQ68_RS00030,91.71370088
CXQ68_RS00035,60.83260189
CXQ68_RS00040,130.2266323
CXQ68_RS00045,12.61192988
CXQ68_RS00050,52.82997294
CXQ68_RS00060,40.92613007
CXQ68_RS00065,29.3439964
CXQ68_RS00070,381.7622035
CXQ68_RS00075,263.7504214
CXQ68_RS00080,188.3856171
CXQ68_RS00085,167.4893708
CXQ68_RS00090,135.7210711
CXQ68_RS00095,145.0042212
CXQ68_RS00100,173.3182861
CXQ68_RS00110,586.4483986
CXQ68_RS00115,405.2672666
CXQ68_RS00120,283.2611484
CXQ68_RS00125,207.9446002
CXQ68_RS00130,515.4127459
CXQ68_RS00135,75.79681852
CXQ68_RS00140,78.19072519
CXQ68_RS00145,90.16285696
CXQ68_RS00150,74.70849599
CXQ68_RS00155,61.76560237
CXQ68_RS00160,51.34680006
CXQ68_RS00165,194.0567036
CXQ68_RS00170,1274.938461
CXQ68_RS00175,1477.449746
CXQ68_RS00180,1020.56053
CXQ68_RS00185,387.3106192
CXQ68_RS00190,453.4606207
CXQ68_RS00195,454.6646559
CXQ68_RS00200,87.59420848
CXQ68_RS00205,22.03533642
CXQ68_RS00210,13.21429823
CXQ68_RS00215,185.9945681
CXQ68_RS00220,463.4021606
CXQ68_RS00225,102.7407359
CXQ68_RS00230,359.7757358
CXQ68_RS00235,542.4266058
CXQ68_RS00240,113.363513
CXQ68_RS00245,97.13048528
CXQ68_RS00250,97.25046945
CXQ68_RS00255,91.4246827
CXQ68_RS00260,826.3765061
CXQ68_RS00265,3199.627878
CXQ68_RS00270,240.5669987
CXQ68_RS00275,169.1767698
CXQ68_RS00280,135.3852902
CXQ68_RS00290,32.42511602
CXQ68_RS00295,162.4598596
CXQ68_RS00300,170.3071496
CXQ68_RS00305,200.3438571
CXQ68_RS00310,84.78446763
CXQ68_RS00315,82.01646993
CXQ68_RS00320,834.9220406
CXQ68_RS00325,83.86129331
CXQ68_RS00330,290.5469911
CXQ68_RS00335,12.49662236
CXQ68_RS00340,9.186619497
CXQ68_RS00345,40.90150545
CXQ68_RS00350,23.59620329
CXQ68_RS00355,28.93994032
CXQ68_RS00360,36.66801835
CXQ68_RS00365,112.4512975
CXQ68_RS00370,40.95373897
CXQ68_RS00375,126.8555885
CXQ68_RS00380,115.0439101
CXQ68_RS00385,237.1047876
CXQ68_RS00395,17.43033386
CXQ68_RS00400,8.909060171
CXQ68_RS00405,59.94559264
CXQ68_RS00410,87.56954266
CXQ68_RS00415,60.92331487
CXQ68_RS00420,0.705461831
CXQ68_RS00425,2.288831719
CXQ68_RS00430,0.310701138
CXQ68_RS00435,0.413644287
CXQ68_RS00440,0.641728519
CXQ68_RS00445,0.919619887
CXQ68_RS00450,0
CXQ68_RS00455,11.56462342
CXQ68_RS00460,35.16985324
CXQ68_RS00465,35.79654724
CXQ68_RS00470,31.65815662
CXQ68_RS00475,60.49938976
CXQ68_RS00480,175.8951499
CXQ68_RS00485,59.26667607
CXQ68_RS00490,57.68909614
CXQ68_RS00495,37.12373398
CXQ68_RS00500,52.72487352
CXQ68_RS00505,34.83367981
CXQ68_RS00510,48.21156174
CXQ68_RS00515,44.20049277
CXQ68_RS00520,54.40824552
CXQ68_RS00525,72.97807666
CXQ68_RS00530,17.07775213
CXQ68_RS00535,8.725380586
CXQ68_RS00540,0.114061381
CXQ68_RS00545,0
CXQ68_RS00550,1.956266426
CXQ68_RS00555,25.53655224
CXQ68_RS00560,98.15711109
CXQ68_RS14950,62.09699968
CXQ68_RS00570,64.43941608
CXQ68_RS00575,12.96598819
CXQ68_RS14440,9.809278795
CXQ68_RS00585,18.37512788
CXQ68_RS00590,12.63537213
CXQ68_RS14445,0.967111994
CXQ68_RS00595,8.392382969
CXQ68_RS00600,11.54281513
CXQ68_RS00605,4.618327961
CXQ68_RS00615,3.506776769
CXQ68_RS00620,6.281380281
CXQ68_RS00625,12.30475932
CXQ68_RS00630,16.65051401
CXQ68_RS00635,54.10798183
CXQ68_RS00640,13.16551137
CXQ68_RS14450,9.355808486
CXQ68_RS00645,92.31621266
CXQ68_RS00650,100.7513775
CXQ68_RS00655,98.86315016
CXQ68_RS00660,91.41336461
CXQ68_RS00665,101.8109919
CXQ68_RS00670,105.4784852
CXQ68_RS00675,200.35116
CXQ68_RS00680,526.8065137
CXQ68_RS00685,107.9322801
CXQ68_RS00690,95.11977023
CXQ68_RS00695,112.1647376
CXQ68_RS00700,62857.16283
CXQ68_RS00705,312.140675
CXQ68_RS00710,394.0771133
CXQ68_RS00715,439.6077157
CXQ68_RS00720,128.1532706
CXQ68_RS00725,209.9124609
CXQ68_RS00730,222.4147344
CXQ68_RS00740,58.93741676
CXQ68_RS00745,45.60323803
CXQ68_RS00750,32.94330046
CXQ68_RS00755,42.61548567
CXQ68_RS00760,49.55377046
CXQ68_RS00765,61.07116409
CXQ68_RS00770,80.30813901
CXQ68_RS00775,152.1166625
CXQ68_RS00780,204.3528667
CXQ68_RS00785,2419.622103
CXQ68_RS00795,630.9601291
CXQ68_RS00800,820.2402383
CXQ68_RS00805,676.3716407
CXQ68_RS00815,290.1911644
CXQ68_RS00820,402.419152
CXQ68_RS00825,652.6031438
CXQ68_RS00830,790.0815313
CXQ68_RS14455,988.5161895
CXQ68_RS00835,1417.168306
CXQ68_RS00840,1586.757468
CXQ68_RS00845,16.11524373
CXQ68_RS00850,31.5591003
CXQ68_RS00865,218.3398057
CXQ68_RS00870,138.5240762
CXQ68_RS00875,154.000007
CXQ68_RS00880,102.4798523
CXQ68_RS00885,90.8203916
CXQ68_RS00890,361.9591608
CXQ68_RS00895,330.9437986
CXQ68_RS00900,167.7284494
CXQ68_RS00905,129.9037563
CXQ68_RS00910,148.8282994
CXQ68_RS00915,57.1656404
CXQ68_RS00920,52.30518123
CXQ68_RS00925,32.68639818
CXQ68_RS00930,26.82224671
CXQ68_RS00940,1117.070344
CXQ68_RS00945,206.8122946
CXQ68_RS00950,778.9021497
CXQ68_RS00955,683.4925064
CXQ68_RS00960,3835.66581
CXQ68_RS00965,518.4904506
CXQ68_RS00970,130.3569507
CXQ68_RS00975,443.6995655
CXQ68_RS00980,520.2442971
CXQ68_RS00985,53.54231342
CXQ68_RS00990,86.26395176
CXQ68_RS00995,61.42617655
CXQ68_RS01000,60.08183262
CXQ68_RS01005,47.06611704
