Protein_ID,Uniprot_ID
WP_013486480.1,Ethha_2644
WP_013485870.1,Ethha_2004
WP_013484283.1,Ethha_0316
WP_013486479.1,Ethha_2643
WP_013485827.1,Ethha_1961
WP_013484354.1,Ethha_0388
WP_013485957.1,Ethha_2092
WP_013484114.1,Ethha_0146
WP_013484116.1,Ethha_0148
WP_013484112.1,Ethha_0144
WP_013484118.1,Ethha_0150
WP_013484117.1,Ethha_0149
WP_013484115.1,Ethha_0147
WP_013485129.1,Ethha_1217
WP_013484703.1,Ethha_0764
WP_013486495.1,Ethha_2659
WP_013486494.1,Ethha_2658
WP_013486496.1,Ethha_2660
WP_013486489.1,Ethha_2653
WP_013486490.1,Ethha_2654
WP_013484187.1,Ethha_0219
WP_013484253.1,Ethha_0286
WP_013485012.1,Ethha_1098
WP_013485886.1,Ethha_2020
WP_013485887.1,Ethha_2021
WP_013485888.1,Ethha_2022
WP_013484391.1,Ethha_0425
WP_013485272.1,Ethha_1379
WP_013484381.1,Ethha_0415
WP_013485274.1,Ethha_1381
WP_013483988.1,Ethha_0016
WP_013483989.1,Ethha_0017
WP_013484587.1,Ethha_0647
WP_013484586.1,Ethha_0646
WP_013486379.1,Ethha_2543
WP_041686820.1,Ethha_2085
WP_013485532.1,Ethha_1642
WP_013486225.1,Ethha_2380
WP_013484893.1,Ethha_0979
WP_013486367.1,Ethha_2531
WP_013486366.1,Ethha_2530
WP_013485352.1,Ethha_1460
WP_013485926.1,Ethha_2061
WP_013486554.1,Ethha_2718
WP_013486045.1,Ethha_2180
WP_013485590.1,Ethha_1711
WP_013486385.1,Ethha_2549
WP_013485495.1,Ethha_1605
WP_013485317.1,Ethha_1425
WP_013485318.1,Ethha_1426
WP_013484842.1,Ethha_0919
WP_013484843.1,Ethha_0920
WP_013486610.1,Ethha_2775
WP_013484700.1,Ethha_0761
WP_013485980.1,Ethha_2115
WP_013485552.1,Ethha_1662
WP_013485066.1,Ethha_1154
WP_013486341.1,Ethha_2505
WP_013483973.1,Ethha_0001
WP_013484971.1,Ethha_1057
WP_013485521.1,Ethha_1631
WP_013485522.1,Ethha_1632
WP_013484133.1,Ethha_0165
WP_013484307.1,Ethha_0340
WP_013485509.1,Ethha_1619
WP_013485126.1,Ethha_1214
WP_013484185.1,Ethha_0217
WP_013484411.1,Ethha_0445
WP_013486498.1,Ethha_2662
WP_013483974.1,Ethha_0002
WP_013483975.1,Ethha_0003
WP_013483977.1,Ethha_0005
WP_013483980.1,Ethha_0008
WP_013483981.1,Ethha_0009
WP_013483982.1,Ethha_0010
WP_013483983.1,Ethha_0011
WP_013483984.1,Ethha_0012
WP_013483990.1,Ethha_0018
WP_013483992.1,Ethha_0020
