Reaction_ID,Reaction_Name,kcat,kcat_MW
rxn05331_c0,(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase_c0,,
rxn05330_c0,(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase_c0,,
rxn05334_c0,(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase_c0,,
rxn05340_c0,(3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase_c0,16.2206,571.9246106
rxn05342_c0,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase_c0,0.275,9.696266964
rxn05336_c0,(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase_c0,,
rxn05343_c0,Octanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0,,
rxn05345_c0,dodecanoyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0,,
rxn05350_c0,hexanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0,,
rxn02483_c0,4-Carboxymuconolactone carboxy-lyase_c0,0.1457,9.065057811
rxn03446_c0,O-Phospho-4-hydroxy-L-threonine phospho-lyase (adding water)_c0,7.0518,229.8083506
rxn09992_c0,6-phospho-beta-glucosidase_c0,53.8679,910.0550201
rxn01851_c0,4-aminobutanal:NAD+ 1-oxidoreductase_c0,13.9537,309.1697434
rxn01257_c0,chorismate:L-glutamine aminotransferase_c0,1.1011,94.54626862
rxn00171_c0_num1,acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)_c0,5.3435,100.6836713
rxn00533_c0_num1,Acetyl-CoA:carbon-dioxide ligase (ADP-forming)_c0,6.6168,808.0673265
rxn08040_c0,UDP-N-acetyl-D-glucosamine:undecaprenyl-phosphate N-acetyl-D-glucosamine phosphotransferase_c0,3.152,20.78944172
rxn05485_c0,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS_c0,5.3909,103.6828141
rxn01917_c0,ATP:N-acetyl-L-glutamate 5-phosphotransferase_c0,96.2504,5665.089576
rxn00192_c0_num1,acetyl-CoA:L-glutamate N-acetyltransferase_c0,85.7087,3623.348908
rxn08043_c0_num1,pyruvate:2-oxobutanoate acetaldehydetransferase (decarboxylating)_c0,40.7076,839.3036445
rxn05349_c0,acetyl-CoA:[acyl-carrier-protein] S-acetyltransferase_c0,12.3393,1301.172567
rxn01637_c0,N2-Acetyl-L-ornithine:2-oxoglutarate aminotransferase_c0,113.9901,4880.212302
rxn00175_c0,Acetate:CoA ligase (AMP-forming)_c0,6.845,132.7002623
rxn00926_c0,Adenine aminohydrolase_c0,4.9254,136.4721692
